passage_event,direction,lateral_crossing_offset_m
P0001,B,-350.403013
P0002,B,-344.101596
P0003,B,161.463929
P0004,A,-764.789810
P0005,B,27.659738
P0006,A,-553.148058
P0007,A,-331.870154
P0008,A,-423.791664
P0009,B,519.697288
P0010,A,-173.973358
P0011,B,281.369866
P0012,A,-251.625223
P0013,B,376.070138
P0014,A,-403.962273
P0015,B,129.773375
P0016,B,149.418183
P0017,B,-150.622424
P0018,B,282.296120
P0019,B,1330.493999
P0020,B,1487.649125
P0021,B,-1456.236558
P0022,B,-1067.795985
P0023,B,-1476.621924
P0024,A,-616.714862
P0025,A,-231.054162
P0026,B,144.044132
P0027,A,-347.252860
P0028,B,136.445071
P0029,B,334.557736
P0030,A,-342.989647
P0031,B,107.349806
P0032,A,-302.218915
P0033,B,561.395386
P0034,A,-140.244601
P0035,B,288.967816
P0036,A,-484.578595
P0037,B,-183.610623
P0038,A,243.563591
P0039,B,-445.104396
P0040,A,-281.091879
P0041,A,9.126880
P0042,A,-572.792866
P0043,A,-59.442584
P0044,A,-299.809321
P0045,A,-7.736943
P0046,B,187.966128
P0047,A,-537.580768
P0048,A,-439.729233
P0049,B,358.650340
P0050,A,-275.160742
P0051,B,77.511759
P0052,A,111.982187
P0053,A,-502.925758
P0054,B,194.452128
P0055,A,-307.407270
P0056,B,386.633656
P0057,B,257.462957
P0058,A,-549.812210
P0059,B,43.968698
P0060,A,-480.315381
P0061,B,-38.501243
P0062,A,-63.149823
P0063,A,-276.458386
P0064,B,212.243316
P0065,A,144.414411
P0066,B,73.991328
P0067,B,68.987556
P0068,A,-176.382952
P0069,B,480.223089
P0070,A,-241.061705
P0071,A,-37.203599
P0072,B,220.397240
P0073,A,-342.433672
P0074,B,306.759004
P0075,A,-128.198855
P0076,B,378.479732
P0077,A,116.429984
P0078,B,145.156081
P0079,A,-178.050876
P0080,B,372.364011
P0081,A,-385.985389
P0082,B,255.053363
P0083,A,-252.181198
P0084,B,96.786288
P0085,A,-36.091649
P0086,B,133.850893
P0087,B,-264.597224
P0088,A,-122.083134
P0089,B,198.158255
P0090,B,95.302948
P0091,A,-246.991731
P0092,A,138.298690
P0093,B,279.516247
P0094,A,-270.712945
P0095,B,110.499958
P0096,B,32.477814
P0097,A,-45.728914
P0098,B,183.146940
P0099,A,-495.698087
P0100,B,100.492415
P0101,A,46.933155
P0102,B,106.793831
P0103,A,-272.196285
P0104,A,-176.197257
P0105,A,-268.674742
P0106,B,432.779550
