number_of_folds,unique_vessels,percentage_of_unique_vessels,passage_events,percentage_of_passage_events
1,322,56.991150442477874,345,33.397870280735724
2,198,35.04424778761062,409,39.59341723136496
3,22,3.893805309734513,77,7.454017424975799
4,10,1.7699115044247788,51,4.937076476282672
5,2,0.3539823008849557,14,1.3552758954501452
6,2,0.3539823008849557,14,1.3552758954501452
7,6,1.0619469026548674,59,5.711519845111326
8,2,0.3539823008849557,24,2.323330106485963
9,0,0.0,0,0.0
10,1,0.1769911504424778,40,3.872216844143272
