date [UTC],waveHeight__sg__min [m],waveHeight__sg__max [m],wavePeriod__sg__min [s],wavePeriod__sg__max [s],windSpeed__sg__min [m/s],windSpeed__sg__max [m/s],waterTemperature__noaa__min [°C],waterTemperature__noaa__max [°C],precipitation__noaa__min [mm/h],precipitation__noaa__max [mm/h],currentSpeed__sg__min [m/s],currentSpeed__sg__max [m/s]
2023-06-16,0.4,0.56,2.9,3.17,3.38,5.09,16.0,16.61,0.0,0.0,0.0,0.78
2023-06-17,0.28,0.6,2.4,3.72,2.52,4.68,16.24,17.28,0.0,0.54,0.52,0.56
2023-06-18,0.4,0.54,3.26,4.84,3.04,7.39,16.25,16.56,0.0,0.12,0.23,0.96
2023-06-19,0.31,1.31,3.26,4.46,0.89,9.46,16.25,16.87,0.0,0.07,0.25,1.07
2023-06-20,0.18,0.6,2.87,4.71,3.11,5.93,16.4,16.99,0.0,0.11,0.0,0.86
2023-06-21,0.41,0.9,3.42,3.7,0.99,7.5,16.25,16.75,0.0,0.0,0.0,0.0
2023-06-22,0.15,0.69,1.95,3.6,0.95,3.9,16.64,17.08,0.0,0.0,0.0,0.0
2023-06-23,0.25,0.88,3.16,3.92,0.26,6.32,16.67,17.85,0.0,0.0,0.17,0.32
2023-06-24,0.19,0.9,3.12,3.8,0.34,6.54,16.8,19.17,0.0,0.0,0.0,0.16
2023-06-25,0.1,0.68,2.27,5.78,0.46,7.55,17.03,21.21,0.0,0.36,0.19,0.73
